Abstand,Zeit,Datum,Lange,Breite,Geschwindigkeit Fahrrad, Geschwindigkeit KFZ, Lange KFZ,checksumme
146.721,113706,160820,48.7167,9.14233,22.3813,48.2294,3.66544,11949500000
133.207,114716,160820,48.6935,9.16019,9.70257,193,8.48289,10961400000
215.264,114814,160820,48.691,9.16088,18.7218,903.391,20.1383,17729300000
149.99,154140,160820,48.6908,9.16744,20.7775,544.008,22.3315,16596400000
182.856,154221,160820,48.6906,9.17107,25.087,186.912,12.1564,20251500000
209.05,154221,160820,48.6906,9.17107,25.087,721.947,26.5925,23152500000
138.552,154330,160820,48.6903,9.1765,21.4868,493.917,4.68682,15364600000
139.185,154659,160820,48.6982,9.19167,31.6727,211.657,4.5932,15495800000
172.209,154752,160820,48.6993,9.19775,29.5281,177.559,4.67188,19197200000
152.872,155142,160820,48.7075,9.20495,11.036,639.293,17.6927,17100700000
158.16,155238,160820,48.7094,9.2045,14.5826,664.571,11.5176,17703000000
155.215,155713,160820,48.7161,9.20663,14.5955,662.228,12.3076,17433000000
157.639,160727,160820,48.7327,9.20167,16.7957,268.362,3.73296,18271700000
126.822,160727,160820,48.7327,9.20167,16.7957,469.158,69.1553,14699800000
165.025,160942,160820,48.7368,9.1982,17.7606,695.964,4.63947,19147800000
168.706,161419,160820,48.7471,9.18876,20.4386,207.876,2.85001,19616900000
167.069,161419,160820,48.7471,9.18876,20.4386,184.281,2.60804,19426600000
178.889,163048,160820,48.7279,9.13789,21.1423,354.707,10.3392,20886400000
183.06,163123,160820,48.7282,9.13506,19.457,771.777,17.0595,21376700000
167.625,163259,160820,48.7291,9.12773,21.2812,178.877,2.08691,19575200000
194.439,163414,160820,48.73,9.12186,22.2239,821.311,19.111,22714000000
157.68,163512,160820,48.7299,9.11709,22.2516,175.298,1.96539,18421100000
236.66,163533,160820,48.7298,9.11547,20.7386,346.391,4.03885,27646700000
142.505,163645,160820,48.7303,9.11257,19.4292,483.914,14.8826,16653800000
188.884,163937,160820,48.7245,9.10685,27.2372,257.495,9.87366,22096600000
169.266,163937,160820,48.7245,9.10685,27.2372,340.48,10.7004,19801600000
170.168,164214,160820,48.7236,9.1132,28.1539,248.262,3.74226,19954400000
176.264,164956,160820,48.7056,9.13089,16.3605,645.99,9.06322,20795200000
198.027,164958,160820,48.7055,9.13099,17.868,164.104,4.09288,23363300000
154.415,164958,160820,48.7055,9.13099,17.868,285.115,3.8991,18218000000
152.566,165131,160820,48.7041,9.13791,20.4219,100.813,2.7556,18031700000
144.97,165359,160820,48.6977,9.14149,14.4122,564.225,20.1455,17162100000
130.323,165737,160820,48.6904,9.13939,7.26535,238.683,12.172,15457600000
181.554,170144,160820,48.688,9.15648,15.2641,349.237,12.4196,22146900000
165.966,170615,160820,48.6879,9.16694,20.62,714.289,27.8958,20324600000
189.994,170631,160820,48.6887,9.16713,24.0518,807.491,37.5194,23270200000
110.085,170829,160820,48.6907,9.16451,19.2903,132.018,9.00497,13495400000
159.3,120645,190720,48.7061,9.14341,23.1591,147.286,3.8926,16323500000
